"vs" "exempt_group" "country" "ets_sector" "sec4dig" "carb_int" "trade_int" "ets"
"259" 1 "C" "Germany" "Wood&Paper" 2112 10.2902526855469 25.687931060791 1
"260" 3 "not exempt" "Germany" "Publishing" 2222 0.42998144030571 3.73045325279236 0
"261" 1 "not exempt" "Germany" "Vehicles" 3430 0.359135985374451 24.7824192047119 0
"262" 3 "not exempt" "Germany" "Glass" 2614 3.76678323745728 23.3048191070557 1
"263" 1 "B & CI<5" "Germany" "Chemical&Plastic" 2441 1.18824517726898 85.7668991088867 0
"264" 1 "not exempt" "Germany" "Wood&Paper" 2020 3.57354998588562 23.7982234954834 0
"265" 1 "not exempt" "Germany" "Furniture/nec" 3613 2.61652541160583 7.22344303131104 0
"266" 1 "C" "Germany" "Wood&Paper" 2112 10.2030458450317 25.6494255065918 1
"267" 3 "not exempt" "Germany" "FabricatedMetals" 2811 2.61038112640381 8.41451263427734 1
"268" 3 "not exempt" "Germany" "Cement" 2640 9.91558456420898 2.70973825454712 1
"269" 1 "not exempt" "Germany" "Cement" 2640 9.801100730896 2.65991711616516 1
"270" 1 "not exempt" "France" "Cement" 2663 2.4635169506073 0.215826764702797 0
"271" 2 "not exempt" "France" "Publishing" 2225 2.59989070892334 3.36895418167114 0
"272" 1 "not exempt" "France" "Food/Tobacco" 1588 0.923110663890839 25.0060443878174 1
"273" 3 "B & CI<5" "France" "Textile/Leather" 1824 0.31913635134697 99.4406814575195 0
"274" 1 "not exempt" "France" "FabricatedMetals" 2811 2.49536943435669 8.3895845413208 0
"275" 1 "B & CI<5" "France" "Wood&Paper" 2010 1.5424712896347 30.8680877685547 0
"276" 2 "not exempt" "France" "Wood&Paper" 2030 2.37268209457397 9.07939338684082 0
"277" 1 "C" "France" "Wood&Paper" 2112 10.2081050872803 25.7512893676758 0
"278" 3 "C" "France" "Food/Tobacco" 1562 7.14073324203491 14.5046405792236 1
"279" 1 "C" "France" "Wood&Paper" 2112 10.1041193008423 25.6750373840332 1
"280" 1 "B & CI>5" "France" "Chemical&Plastic" 2417 17.4614639282227 38.0155334472656 1
"281" 1 "not exempt" "France" "Food/Tobacco" 1551 1.34366607666016 7.69843578338623 1
"282" 4 "B & CI<5" "France" "Wood&Paper" 2111 2.46309900283813 46.0787925720215 1
"283" 1 "not exempt" "France" "Wood&Paper" 2020 3.824786901474 23.881706237793 0
"284" 3 "B & CI>5" "France" "Iron&Steel" 2710 10.4983978271484 32.3686256408691 1
"285" 4 "A" "France" "Cement" 2652 65.101432800293 2.63098859786987 1
"286" 1 "B & CI<5" "France" "TVCommunication" 3210 0.485696941614151 81.3721313476562 1
"287" 1 "B & CI<5" "France" "Machinery&Optics" 3120 2.56868314743042 39.4692687988281 0
"288" 1 "not exempt" "France" "Wood&Paper" 2020 3.6537070274353 23.8911571502686 1
